line_id,stop_order,stop_name,geocode_query,source
B4,1,Lebanese University / Hadath,Lebanese University Hadath Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,2,Laylaki Roundabout,Laylaki Roundabout Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,3,Al Kafaat Roundabout,Al Kafaat Roundabout Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,4,Sfeir Roundabout,Sfeir Roundabout Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,5,St Mikhael Church,Saint Michel Church Sin El Fil Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,6,Chiyah / Old Saida Road Intersection,Chiyah Old Saida Road Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,7,Beirut Mall,Beirut Mall Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,8,Tayouneh,Tayouneh Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,9,Military Hospital,Military Hospital Badaro Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,10,Barbir,Barbir Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,11,Ras El Nabaa,Ras El Nabaa Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,12,Bechara El Khoury,Bechara El Khoury Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
B4,13,Martyrs' Square,Martyrs Square Beirut Lebanon,transitapp.com/en/region/beirut/actcpt/bus-b4
