node_id,name,kind,country,betweenness_status_quo,betweenness_proposed,betweenness_pct_change,closeness_status_quo,closeness_proposed,closeness_pct_change
beirut_hub,Beirut,city_port,Lebanon,0.1323529411764706,0.6617647058823529,400.0,0.008187310484455769,0.004554029277616176,-44.376980862490235
chtaura,Chtaura,inland_hub,Lebanon,0.08088235294117647,0.4264705882352941,427.27272727272725,0.006875814463042247,0.004395878511309747,-36.0675228376543
jounieh,Jounieh,port,Lebanon,0.0,0.33088235294117646,,0.006571621510409183,0.004384589375887329,-33.27994667766067
rayak,Rayak,rail_junction,Lebanon,0.0,0.3014705882352941,,0.00562790032275555,0.0042857335925728275,-23.848445303053385
masnaa,Masnaa,border_crossing,Lebanon,0.0,0.25735294117647056,,0.0,0.004189781787929362,
damascus,Damascus,city,Syria,0.0,0.25,,0.0,0.003937630279844045,
tripoli,Tripoli,port,Lebanon,0.0,0.21323529411764705,,0.0037825034185277103,0.003849425420296792,1.7692515872234158
aboudiyeh,Aboudiyeh,border_crossing,Lebanon,0.0,0.14705882352941177,,0.0,0.003508701175983709,
homs,Homs,city,Syria,0.0,0.13970588235294118,,0.0,0.0032993244217172962,
amman,Amman,city,Jordan,0.0,0.11764705882352941,,0.0,0.0025027704119845477,
baalbek,Baalbek,inland_hub,Lebanon,0.0,0.0,,0.004387405982217906,0.0037767012689446733,-13.91949401875299
tyre,Tyre,port,Lebanon,0.0,0.0,,0.003604150600660229,0.003450535082317119,-4.262183669987868
saida,Saida,port,Lebanon,0.0,0.0,,0.004926365226093117,0.0039041086445454776,-20.750726643918476
aleppo,Aleppo,city,Syria,0.0,0.0,,0.0,0.002169082008886145,
riyadh,Riyadh,city,Saudi Arabia,0.0,0.0,,0.0,0.0006074294246456487,
larnaca,Larnaca,port,Cyprus,0.0,0.0,,0.0,0.0023487941608397018,
latakia,Latakia,port,Syria,0.0,0.0,,0.0,0.0025571191124652594,
mersin,Mersin,port,Turkey,0.0,0.0,,0.0,0.0018697550852616886,
